tool	binaries
coreutils	coreutils
jq	jq
xz	xz
yq	yq
neovim	neovim
wget	wget
fzf	fzf
curl	curl
watchman	watchman
tmux	tmux
tree	tree
gnu-tar	gnu-tar,tar,gtar
hello	hello
ripgrep	ripgrep,rg
vim	vim
fastfetch	fastfetch
eza	eza
bash	bash
htop	htop
bat	bat
fish	fish
starship	starship
gettext	gettext
direnv	direnv
zsh	zsh
opencode	opencode
fd	fd
btop	btop
zoxide	zoxide
uutils-findutils	uutils-findutils
the_silver_searcher	the_silver_searcher,ag
p7zip	p7zip
uutils-coreutils	uutils-coreutils
zstd	zstd
atuin	atuin
gnu-sed	gnu-sed,gsed,sed
httpie	httpie
watch	watch
parallel	parallel
mpv	mpv
emacs	emacs
ncdu	ncdu
zsh-autosuggestions	zsh-autosuggestions
oh-my-posh	oh-my-posh
yazi	yazi
rsync	rsync
television	television
xmlstarlet	xmlstarlet
aria2	aria2
unzip	unzip
sevenzip	sevenzip
zsh-syntax-highlighting	zsh-syntax-highlighting
glances	glances
nushell	nushell
grep	grep
pv	pv
moreutils	moreutils
zellij	zellij
tree-sitter	tree-sitter
nano	nano
gawk	gawk
dos2unix	dos2unix
neofetch	neofetch
cask	cask
dust	dust
midnight-commander	midnight-commander
helix	helix
powerlevel10k	powerlevel10k
jo	jo
dysk	dysk
goreman	goreman
overmind	overmind
tealdeer	tealdeer
pyqt	pyqt
glow	glow
