tool	binaries
docker	docker
helm	helm
kubernetes-cli	kubernetes-cli,kubectl,kubernetes
docker-compose	docker-compose
k9s	k9s
podman	podman
kubeconform	kubeconform
argocd	argocd
kustomize	kustomize
colima	colima
minikube	minikube
k3d	k3d
kind	kind
docker-buildx	docker-buildx
lima	lima
tilt	tilt
oras	oras
docker-credential-helper-ecr	docker-credential-helper-ecr,docker-credential-ecr-login
kubectx	kubectx
docker-credential-helper	docker-credential-helper,docker-credential-osxkeychain,docker-credential-desktop
stern	stern
helmfile	helmfile
lazydocker	lazydocker
skopeo	skopeo
