tool	binaries
postgresql@14	postgresql@14,postgresql,psql
mysql	mysql
redis	redis
libpq	libpq
sqlite	sqlite
freetds	freetds
postgresql@15	postgresql@15,postgresql,psql
mongosh	mongosh
mysql-client	mysql-client,mysql
mysql@8.0	mysql@8.0,mysql
postgresql@16	postgresql@16,postgresql,psql
postgresql@17	postgresql@17,postgresql,psql
mariadb	mariadb
mysql@8.4	mysql@8.4,mysql
apache-arrow	apache-arrow
duckdb	duckdb
temporal	temporal
rabbitmq	rabbitmq
kafka	kafka
unixodbc	unixodbc
postgresql@18	postgresql@18,postgresql,psql
