tool	binaries
ffmpeg	ffmpeg
imagemagick	imagemagick
yt-dlp	yt-dlp
poppler	poppler
tesseract	tesseract
pandoc	pandoc
librsvg	librsvg
jpeg-xl	jpeg-xl
ghostscript	ghostscript
libheif	libheif
webp	webp
exiftool	exiftool
libpng	libpng
libavif	libavif
libtiff	libtiff
gdal	gdal
netpbm	netpbm
opencv	opencv
gstreamer	gstreamer
jpeg	jpeg
graphicsmagick	graphicsmagick
openai-whisper	openai-whisper,whisper
openjpeg	openjpeg
portaudio	portaudio
vips	vips
handbrake	handbrake
leptonica	leptonica
qpdf	qpdf
libraw	libraw
ocrmypdf	ocrmypdf
gnuplot	gnuplot
plantuml	plantuml
tesseract-lang	tesseract-lang
d2	d2
openexr	openexr
