tool	binaries
node	node
pyenv	pyenv
go	go
uv	uv
python@3.13	python@3.13,python,python3.13,python3
python@3.11	python@3.11,python,python3.11,python3
mise	mise
python@3.12	python@3.12,python,python3.12,python3
nvm	nvm
python@3.10	python@3.10,python,python3.10,python3
php	php
openjdk	openjdk
pnpm	pnpm
openjdk@17	openjdk@17,openjdk,java,javac
rbenv	rbenv
python@3.9	python@3.9,python,python3.9,python3
pipx	pipx
rust	rust
python@3.14	python@3.14,python,python3.14,python3
ruby	ruby
node@22	node@22,node
composer	composer
ruby-build	ruby-build
openjdk@21	openjdk@21,openjdk,java,javac
openjdk@11	openjdk@11,openjdk,java,javac
deno	deno
yarn	yarn
node@20	node@20,node
poetry	poetry
asdf	asdf
python-setuptools	python-setuptools
lua	lua
virtualenv	virtualenv
python-tk@3.13	python-tk@3.13,python-tk,python3
pipenv	pipenv
pyenv-virtualenv	pyenv-virtualenv
python-yq	python-yq,yq
rustup	rustup
node@18	node@18,node
dotnet	dotnet
jenv	jenv
php@8.3	php@8.3,php
luajit	luajit
erlang	erlang
sbt	sbt
r	r
php@8.2	php@8.2,php
perl	perl
elixir	elixir
php@8.1	php@8.1,php
kotlin	kotlin
dart-sdk	dart-sdk,dart
luarocks	luarocks
fnm	fnm
mono	mono
python-tk@3.14	python-tk@3.14,python-tk,python3
node@24	node@24,node
