tool	binaries
openssl@3	openssl@3,openssl
mkcert	mkcert
gnupg	gnupg
unbound	unbound
nmap	nmap
sops	sops
telnet	telnet
tailscale	tailscale
ca-certificates	ca-certificates
trivy	trivy
nss	nss
iperf3	iperf3
wireshark	wireshark
libfido2	libfido2
openssh	openssh
semgrep	semgrep
socat	socat
p11-kit	p11-kit
certbot	certbot
gpgme	gpgme
cosign	cosign
openvpn	openvpn
mosh	mosh
sshpass	sshpass
trufflehog	trufflehog
mtr	mtr
license-eye	license-eye
sshuttle	sshuttle
age	age
bitwarden-cli	bitwarden-cli,bitwarden
dnsmasq	dnsmasq
wireguard-tools	wireguard-tools
openssl@3.5	openssl@3.5,openssl
pinentry-mac	pinentry-mac
libssh2	libssh2
