tool	binaries
harfbuzz	harfbuzz
glib	glib
graphviz	graphviz
pango	pango
qemu	qemu
gnutls	gnutls
mint	mint
aom	aom
cairo	cairo
boost	boost
libomp	libomp
hugo	hugo
nginx	nginx
qt	qt
gobject-introspection	gobject-introspection
zlib	zlib
tcl-tk	tcl-tk
rclone	rclone
gdk-pixbuf	gdk-pixbuf
libxml2	libxml2
chezmoi	chezmoi
libffi	libffi
folly	folly
fizz	fizz
sdl2	sdl2
fb303	fb303
fbthrift	fbthrift
wangle	wangle
little-cms2	little-cms2
guile	guile
readline	readline
cryptography	cryptography
qt@5	qt@5,qt
edencommon	edencommon
nghttp2	nghttp2
libusb	libusb
libass	libass
wimlib	wimlib
zig	zig
freetype	freetype
apktool	apktool
gmp	gmp
himalaya	himalaya
httpd	httpd
cliclick	cliclick
open-mpi	open-mpi
icu4c@76	icu4c@76,icu4c,icuinfo
syncthing	syncthing
c-ares	c-ares
gauche	gauche
mole	mole
chibi-scheme	chibi-scheme
rust-analyzer	rust-analyzer
gdb	gdb
libidn2	libidn2
hdf5	hdf5
gtk+3	gtk+3
at-spi2-core	at-spi2-core
gsasl	gsasl
libarchive	libarchive
pcre2	pcre2
unar	unar
gtk4	gtk4
giflib	giflib
caddy	caddy
libyaml	libyaml
openapi-generator	openapi-generator,openapi-generator-cli
smartmontools	smartmontools
eigen	eigen
fontconfig	fontconfig
icu4c@77	icu4c@77,icu4c,icuinfo
gdbm	gdbm
glfw	glfw
gambit-scheme	gambit-scheme
libngtcp2	libngtcp2
libzip	libzip
