rank,tool,description,access,license,homepage
542,nuget,Package manager for Microsoft development platform including .NET,local-installable,MIT,https://www.nuget.org/
562,scala,JVM-based programming language,local-installable,Apache-2.0,https://dotty.epfl.ch/
585,jenkins-lts,Extendable open source continuous integration server,local-installable,MIT,https://www.jenkins.io/
611,openjdk@8,Development kit for the Java programming language,local-installable,GPL-2.0-only,https://openjdk.org/
627,dotnet@8,.NET Core,local-installable,MIT,https://dotnet.microsoft.com/
672,ant,Java build tool,local-installable,Apache-2.0,https://ant.apache.org/
683,bundletool,Command-line tool to manipulate Android App Bundles,local-installable,Apache-2.0,https://github.com/google/bundletool
685,groovy,Java-based scripting language,local-installable,Apache-2.0,https://www.groovy-lang.org/
692,jmeter,Load testing and performance measurement application,local-installable,Apache-2.0,https://jmeter.apache.org/
765,tomcat,Implementation of Java Servlet and JavaServer Pages,local-installable,Apache-2.0,https://tomcat.apache.org/
790,jenkins,Extendable open source continuous integration server,local-installable,MIT,https://www.jenkins.io/
862,exercism,Command-line tool to interact with exercism.io,local-installable,MIT,https://exercism.io/cli/
896,ktlint,Anti-bikeshedding Kotlin linter with built-in formatter,local-installable,MIT,https://ktlint.github.io/
941,jdtls,Java language specific implementation of the Language Server Protocol,local-installable,EPL-2.0,https://github.com/eclipse-jdtls/eclipse.jdt.ls
992,clojure,"Dynamic, general-purpose programming language",local-installable,EPL-1.0,https://clojure.org
