rank,tool,installs_365d,percent_365d,access,description,homepage,license
1006,vapoursynth,8986,0.01,local-installable,Video processing framework with simplicity in mind,https://www.vapoursynth.com,LGPL-2.1-or-later
1016,libvpx,8829,0.01,local-installable,VP8/VP9 video codec,https://www.webmproject.org/code/,BSD-3-Clause
1045,glm,8491,0.01,local-installable,C++ mathematics library for graphics software,https://glm.g-truc.net/,MIT
1046,mame,8489,0.01,local-installable,Multiple Arcade Machine Emulator,https://mamedev.org/,GPL-2.0-or-later
1047,assimp,8486,0.01,local-installable,Portable library for importing many well-known 3D model formats,https://www.assimp.org/,BSD-3-Clause AND CC-PDDC AND MIT AND BSL-1.0 AND Unlicense AND Zlib
1048,fonttools,8479,0.01,local-installable,Library for manipulating fonts,https://github.com/fonttools/fonttools,MIT
1091,gpac,7896,0.01,local-installable,Multimedia framework for research and academic purposes,https://gpac.io/,LGPL-2.1-or-later
1097,libdvdcss,7817,0.01,local-installable,Access DVDs as block devices without the decryption,https://www.videolan.org/developers/libdvdcss.html,GPL-2.0-or-later
1100,gifsicle,7792,0.01,local-installable,GIF image/animation creator/editor,https://www.lcdf.org/gifsicle/,GPL-2.0-only
1103,rom-tools,7772,0.01,local-installable,Tools for Multiple Arcade Machine Emulator,https://www.mamedev.org/,GPL-2.0-or-later
1118,libvorbis,7577,0.01,local-installable,Vorbis general audio compression codec,https://xiph.org/vorbis/,BSD-3-Clause
1130,cgal,7408,0.01,local-installable,Computational Geometry Algorithms Library,https://www.cgal.org/,GPL-3.0-or-later
1146,cdrtools,7276,0.01,local-installable,CD/DVD/Blu-ray premastering and recording software,https://cdrtools.sourceforge.net/private/cdrecord.html,CDDL-1.0
1154,flac,7203,0.01,local-installable,Free lossless audio codec,https://xiph.org/flac/,BSD-3-Clause AND GPL-2.0-or-later AND ISC AND LGPL-2.0-or-later AND LGPL-2.1-or-later AND LicenseRef-Homebrew-public-domain AND (GPL-2.0-or-later OR LGPL-2.1-or-later)
1160,x264,7080,0.01,local-installable,H.264/AVC encoder,https://www.videolan.org/developers/x264.html,GPL-2.0-or-later
1161,f3,7065,0.01,local-installable,Test various flash cards,https://fight-flash-fraud.readthedocs.io/en/latest/,GPL-3.0-only
1180,spotify_player,6923,0.01,local-installable,Command driven spotify player,https://github.com/aome510/spotify-player,MIT
1195,switchaudio-osx,6725,0.01,local-installable,Change macOS audio source from the command-line,https://github.com/deweller/switchaudio-osx/,MIT
1199,vulkan-tools,6687,0.01,local-installable,Vulkan utilities and tools,https://github.com/KhronosGroup/Vulkan-Tools,Apache-2.0
1207,ceres-solver,6612,0.01,local-installable,C++ library for large-scale optimization,http://ceres-solver.org/,BSD-3-Clause
1214,libraqm,6544,0.01,local-installable,Library for complex text layout,https://github.com/HOST-Oman/libraqm,MIT
1224,openal-soft,6496,0.01,local-installable,Implementation of the OpenAL 3D audio API,https://openal-soft.org/,LGPL-2.0-or-later
1227,svt-av1,6470,0.01,local-installable,AV1 encoder,https://gitlab.com/AOMediaCodec/SVT-AV1,BSD-3-Clause
1255,libogg,6192,0.01,local-installable,Ogg Bitstream Library,https://www.xiph.org/ogg/,BSD-3-Clause
1256,ffmpegthumbnailer,6188,0.01,local-installable,Create thumbnails for your video files,https://github.com/dirkvdb/ffmpegthumbnailer,GPL-2.0-or-later
1270,dav1d,6093,0.01,local-installable,AV1 decoder targeted to be small and fast,https://code.videolan.org/videolan/dav1d,BSD-2-Clause
1276,ffmpeg@5,5999,0.01,local-installable,"Play, record, convert, and stream audio and video",https://ffmpeg.org/,GPL-2.0-or-later
1278,sfcgal,5973,0.01,local-installable,C++ wrapper library around CGAL,https://sfcgal.gitlab.io/SFCGAL/,LGPL-2.0-or-later
1311,colmap,5691,0.01,local-installable,Structure-from-Motion and Multi-View Stereo,https://colmap.github.io/,BSD-3-Clause
1313,mpd,5667,0.01,local-installable,Music Player Daemon,https://www.musicpd.org/,GPL-2.0-or-later
1337,espeak,5479,0.01,local-installable,"Text to speech, software speech synthesizer",https://espeak.sourceforge.net/,GPL-3.0-or-later AND LGPL-2.1-or-later
1340,potrace,5430,0.01,local-installable,Convert bitmaps to vector graphics,https://potrace.sourceforge.net/,GPL-2.0-or-later
1354,frei0r,5353,0.01,local-installable,Minimalistic plugin API for video effects,https://frei0r.dyne.org/,GPL-2.0-or-later
1372,ffmpeg-full,5203,0.01,local-installable,"Play, record, convert, and stream many audio and video codecs",https://ffmpeg.org/,GPL-2.0-or-later
1373,jpegoptim,5203,0.01,local-installable,Utility to optimize JPEG files,https://github.com/tjko/jpegoptim,GPL-3.0-or-later
1394,imath,5050,0.01,local-installable,"Library of 2D and 3D vector, matrix, and math operations",https://imath.readthedocs.io/en/latest/,BSD-3-Clause
1438,raylib,4765,0,local-installable,Simple and easy-to-use library to learn videogames programming,https://www.raylib.com/,Zlib
1447,chromaprint,4732,0,local-installable,Core component of the AcoustID project (Audio fingerprinting),https://acoustid.org/chromaprint,LGPL-2.1-or-later
1454,oxipng,4708,0,local-installable,Multithreaded PNG optimizer written in Rust,https://github.com/oxipng/oxipng,MIT
1480,pymol,4485,0,local-installable,Molecular visualization system,https://pymol.org/,LicenseRef-Homebrew-cannot-represent
1500,rtmpdump,4344,0,local-installable,Tool for downloading RTMP streaming media,https://rtmpdump.mplayerhq.hu/,GPL-2.0-or-later AND LGPL-2.1-or-later
