rank,tool,command_hint,type,access,description,homepage,license
1512,cargo-nextest,cargo-nextest,cli,local-installable,Next-generation test runner for Rust,https://nexte.st,Apache-2.0
1514,node-sass,node-sass,cli,local-installable,JavaScript implementation of a Sass compiler,https://github.com/sass/dart-sass,MIT
1527,v8,v8,cli,local-installable,Google's JavaScript engine,https://v8.dev/docs,BSD-3-Clause
1529,pkl,pkl,cli,local-installable,CLI for the Pkl programming language,https://pkl-lang.org,Apache-2.0
1544,arm-linux-gnueabihf-binutils,arm-linux-gnueabihf-binutils,cli,local-installable,FSF/GNU binutils for cross-compiling to arm-linux,https://www.gnu.org/software/binutils/binutils.html,GPL-3.0-or-later
1545,flatbuffers,flatbuffers,library/runtime,local-installable,"Serialization library for C++, supporting Java, C#, and Go",https://google.github.io/flatbuffers,Apache-2.0
1547,glibc,glibc,library/runtime,local-installable,GNU C Library,https://www.gnu.org/software/libc/,GPL-2.0-or-later AND LGPL-2.1-or-later
1562,oniguruma,oniguruma,library/runtime,local-installable,Regular expressions library,https://github.com/kkos/oniguruma/,BSD-2-Clause
1563,imlib2,imlib2,library/runtime,local-installable,Image loading and rendering library,https://sourceforge.net/projects/enlightenment/,Imlib2
1571,protobuf@21,protoc,cli,local-installable,Protocol buffers (Google's data interchange format),https://protobuf.dev/,BSD-3-Clause
1582,poco,poco,cli,local-installable,C++ class libraries for building network and internet-based applications,https://pocoproject.org/,BSL-1.0
1584,minimal-racket,minimal-racket,cli,local-installable,Modern programming language in the Lisp/Scheme family,https://racket-lang.org/,MIT OR Apache-2.0
1585,dlib,dlib,library/runtime,local-installable,C++ library for machine learning,https://dlib.net/,BSL-1.0
1587,taglib,taglib,library/runtime,local-installable,Audio metadata library,https://taglib.org/,LGPL-2.1-only AND MPL-1.1
1603,portmidi,portmidi,library/runtime,local-installable,Cross-platform library for real-time MIDI I/O,https://github.com/PortMidi/portmidi,MIT
1613,llvm@15,llvm,cli,local-installable,Next-gen compiler infrastructure,https://llvm.org/,Apache-2.0 WITH LLVM-exception
1614,gtk-doc,gtk-doc,cli,local-installable,GTK+ documentation tool,https://gitlab.gnome.org/GNOME/gtk-doc,GPL-2.0-or-later
1615,libirecovery,libirecovery,library/runtime,local-installable,Library and utility to talk to iBoot/iBSS via USB,https://www.libimobiledevice.org/,LGPL-2.1-only
1616,freeglut,freeglut,library/runtime,local-installable,Open-source alternative to the OpenGL Utility Toolkit (GLUT) library,https://freeglut.sourceforge.net/,MIT
1623,isl,isl,library/runtime,local-installable,Integer Set Library for the polyhedral model,https://libisl.sourceforge.io/,MIT
1624,code-cli,code-cli,cli,local-installable,Command-line interface built-in Visual Studio Code,https://github.com/microsoft/vscode,MIT
1625,tinyxml2,tinyxml2,cli,local-installable,Improved tinyxml (in memory efficiency and size),https://leethomason.github.io/tinyxml2/,Zlib
1626,armadillo,armadillo,library/runtime,local-installable,C++ linear algebra library,https://arma.sourceforge.net/,Apache-2.0
1637,proto,proto,cli,local-installable,Pluggable multi-language version manager,https://moonrepo.dev/proto,MIT
1640,fribidi,fribidi,cli,local-installable,Implementation of the Unicode BiDi algorithm,https://github.com/fribidi/fribidi,GPL-2.0-or-later AND LGPL-2.1-or-later
1643,exiv2,exiv2,library/runtime,local-installable,EXIF and IPTC metadata manipulation library and tools,https://exiv2.org/,GPL-2.0-or-later
