rank,tool,command_hint,type,access,description,homepage,license
1503,pdfly,pdfly,cli,local-installable,CLI tool to extract (meta)data from PDF and manipulate PDF files,https://pdfly.readthedocs.io/en/latest/,BSD-3-Clause
1504,mailhog,mailhog,cli,local-installable,Web and API based SMTP testing tool,https://github.com/mailhog/MailHog,MIT
1523,swaks,swaks,cli,local-installable,SMTP command-line test tool,https://www.jetmore.org/john/code/swaks/,GPL-2.0-or-later
1524,navi,navi,cli,local-installable,Interactive cheatsheet tool for the command-line,https://github.com/denisidoro/navi,Apache-2.0
1537,pdf2svg,pdf2svg,cli,local-installable,PDF converter to SVG,https://cityinthesky.co.uk/opensource/pdf2svg,GPL-2.0-or-later
1575,redocly-cli,redocly-cli,cli,local-installable,Your all-in-one OpenAPI utility,https://redocly.com/docs/cli,MIT
1579,latexindent,latexindent,cli,local-installable,Add indentation to LaTeX files,https://latexindentpl.readthedocs.io,GPL-3.0-or-later
1594,mdbook,mdbook,cli,local-installable,Create modern online books from Markdown files,https://rust-lang.github.io/mdBook/,MPL-2.0
1608,mu,mu,cli,local-installable,Tool for searching e-mail messages stored in the maildir-format,https://www.djcbsoftware.nl/code/mu/,GPL-3.0-or-later
1612,tinymist,tinymist,service/daemon,local-installable,Services for Typst,https://myriad-dreamin.github.io/tinymist/,Apache-2.0
1642,pdfcpu,pdfcpu,cli,local-installable,PDF processor written in Go,https://pdfcpu.io,Apache-2.0
1659,mkdocs,mkdocs,cli,local-installable,Project documentation with Markdown,https://www.mkdocs.org/,BSD-2-Clause
1689,evince,evince,cli,local-installable,GNOME document viewer,https://apps.gnome.org/Evince/,GPL-2.0-or-later
1713,twine,twine,cli,local-installable,Utilities for interacting with PyPI,https://github.com/pypa/twine,Apache-2.0
1719,xpdf,xpdf,cli,local-installable,PDF viewer,https://www.xpdfreader.com/,GPL-2.0-only OR GPL-3.0-only
1737,nb,nb,cli,local-installable,"Command-line and local web note-taking, bookmarking, and archiving",https://xwmx.github.io/nb,AGPL-3.0-or-later
1746,copier,copier,cli,local-installable,Utility for rendering projects templates,https://copier.readthedocs.io/,MIT
1762,help2man,help2man,cli,local-installable,Automatically generate simple man pages,https://www.gnu.org/software/help2man/,GPL-3.0-or-later
1764,gcalcli,gcalcli,cli,local-installable,Easily access your Google Calendar(s) from a command-line,https://github.com/insanum/gcalcli,MIT
1814,pngpaste,pngpaste,cli,local-installable,Paste PNG into files,https://github.com/jcsalterego/pngpaste,BSD-2-Clause
1823,usage,usage,cli,local-installable,Tool for working with usage-spec CLIs,https://usage.jdx.dev/,MIT
1824,cheat,cheat,cli,local-installable,Create and view interactive cheat sheets for *nix commands,https://github.com/cheat/cheat,MIT
1832,toilet,toilet,cli,local-installable,Color-based alternative to figlet (uses libcaca),http://caca.zoy.org/wiki/toilet,WTFPL
1853,mailutils,mailutils,cli,local-installable,Swiss Army knife of email handling,https://mailutils.org/,GPL-3.0-or-later
1882,mkdocs-material,mkdocs-material,cli,local-installable,Material Design theme for MkDocs,https://squidfunk.github.io/mkdocs-material/,MIT
1894,presenterm,presenterm,cli,local-installable,Terminal slideshow tool,https://github.com/mfontanini/presenterm,BSD-2-Clause
1907,antiword,antiword,cli,local-installable,Utility to read Word (.doc) files,https://web.archive.org/web/20221207132720/http://www.winfield.demon.nl/,GPL-2.0-or-later
1928,aha,aha,cli,local-installable,ANSI HTML adapter,https://github.com/theZiz/aha,LGPL-2.0-or-later OR MPL-1.1
1944,ical-buddy,ical-buddy,cli,local-installable,Get events and tasks from the macOS calendar database,https://hasseg.org/icalBuddy/,MIT
1970,biber,biber,cli,local-installable,Backend processor for BibLaTeX,https://sourceforge.net/projects/biblatex-biber/,Artistic-2.0
