rank,tool,command_hint,type,access,description,homepage,license
1534,gphoto2,gphoto2,cli,local-installable,Command-line interface to libgphoto2,http://www.gphoto.org/,GPL-2.0-or-later
1540,openimageio,openimageio,library/runtime,local-installable,"Library for reading, processing and writing images",https://openimageio.readthedocs.io/en/stable/,Apache-2.0
1574,viu,viu,cli,local-installable,Simple terminal image viewer written in Rust,https://github.com/atanunq/viu,MIT
1577,mplayer,mplayer,cli,local-installable,UNIX movie player,https://mplayerhq.hu/,GPL-2.0-only AND GPL-2.0-or-later
1591,cava,cava,cli,local-installable,Console-based Audio Visualizer for ALSA,https://github.com/karlstav/cava,MIT
1620,pulseaudio,pulseaudio,cli,local-installable,Sound system for POSIX OSes,https://wiki.freedesktop.org/www/Software/PulseAudio/,GPL-2.0-or-later AND LGPL-2.1-or-later AND BSD-3-Clause
1635,ffmpeg@7,ffmpeg,cli,local-installable,"Play, record, convert, and stream audio and video",https://ffmpeg.org/,GPL-2.0-or-later
1680,gmic,gmic,cli,local-installable,Full-Featured Open-Source Framework for Image Processing,https://gmic.eu/,CECILL-2.1
1696,kew,kew,cli,local-installable,Command-line music player,https://github.com/ravachol/kew,GPL-2.0-only
1732,vhs,vhs,cli,local-installable,Your CLI home video recorder,https://github.com/charmbracelet/vhs,MIT
1794,cmus,cmus,cli,local-installable,Music player with an ncurses based interface,https://cmus.github.io/,GPL-2.0-or-later
1842,svtplay-dl,svtplay-dl,cli,local-installable,Download videos from https://www.svtplay.se/,https://svtplay-dl.se/,MIT
1849,theora,theora,cli,local-installable,Open video compression format,https://www.theora.org/,BSD-3-Clause
1861,audacious,audacious,cli,local-installable,Lightweight and versatile audio player,https://audacious-media-player.org/,BSD-2-Clause
1887,mediamtx,mediamtx,service/daemon,local-installable,Zero-dependency real-time media server and media proxy,https://github.com/bluenviron/mediamtx,MIT
1902,ncspot,ncspot,cli,local-installable,Cross-platform ncurses Spotify client written in Rust,https://github.com/hrkfdn/ncspot,BSD-2-Clause
1906,immich-cli,immich-cli,cli,local-installable,Command-line interface for self-hosted photo manager Immich,https://immich.app/docs/features/command-line-interface,AGPL-3.0-only
1931,instaloader,instaloader,cli,local-installable,Download media from Instagram,https://instaloader.github.io/,MIT
1932,timg,timg,cli,local-installable,Terminal image and video viewer,https://timg.sh/,GPL-2.0-only
1935,bchunk,bchunk,cli,local-installable,Convert CD images from .bin/.cue to .iso/.cdr,http://he.fi/bchunk/,GPL-2.0-or-later
1936,feh,feh,cli,local-installable,X11 image viewer,https://feh.finalrewind.org/,MIT-feh
1945,lame,lame,cli,local-installable,High quality MPEG Audio Layer III (MP3) encoder,https://lame.sourceforge.io/,LGPL-2.0-or-later
1948,agg,agg,cli,local-installable,Asciicast to GIF converter,https://github.com/asciinema/agg,GPL-3.0-or-later
1986,manim,manim,cli,local-installable,Animation engine for explanatory math videos,https://www.manim.community,MIT
1993,lilypond,lilypond,cli,local-installable,Music engraving system,https://lilypond.org,GPL-3.0-or-later AND GPL-3.0-only AND OFL-1.1-RFN AND GFDL-1.3-no-invariants-or-later AND LicenseRef-Homebrew-public-domain AND MIT AND AGPL-3.0-only AND LPPL-1.3c
