rank,tool,access,license,homepage,description
2732,flexget,local-installable,MIT,https://www.flexget.com,Multipurpose automation tool for content
2733,opentelemetry-cpp,local-installable,Apache-2.0,https://opentelemetry.io/,OpenTelemetry C++ Client
2734,unicorn,local-installable,GPL-2.0-only AND GPL-2.0-or-later,https://www.unicorn-engine.org/,Lightweight multi-architecture CPU emulation framework
2735,ytt,local-installable,Apache-2.0,https://carvel.dev/ytt/,YAML templating tool that works on YAML structure instead of text
2736,libftdi,local-installable,LGPL-2.1-only,https://www.intra2net.com/en/developer/libftdi,Library to talk to FTDI chips
2737,mage,local-installable,Apache-2.0,https://magefile.org,Make/rake-like build tool using Go
2739,fig2dev,local-installable,MIT,https://mcj.sourceforge.net/,Translates figures generated by xfig to other formats
2740,sqruff,local-installable,Apache-2.0,https://github.com/quarylabs/sqruff,Fast SQL formatter/linter
2741,whisperkit-cli,local-installable,MIT,https://github.com/argmaxinc/WhisperKit,Swift native on-device speech recognition with Whisper for Apple Silicon
2742,gpg-tui,local-installable,MIT,https://github.com/orhun/gpg-tui,Manage your GnuPG keys with ease!
2743,desktop-file-utils,local-installable,GPL-2.0-or-later,https://wiki.freedesktop.org/www/Software/desktop-file-utils/,Command-line utilities for working with desktop entries
2744,opusfile,local-installable,BSD-3-Clause,https://www.opus-codec.org/,API for decoding and seeking in .opus files
2746,mmctl,local-installable,AGPL-3.0-only AND Apache-2.0,https://github.com/mattermost/mattermost,Remote CLI tool for Mattermost server
2747,opencolorio,local-installable,BSD-3-Clause,https://opencolorio.org/,Color management solution geared towards motion picture production
2749,git-spice,local-installable,GPL-3.0-or-later,https://abhinav.github.io/git-spice/,Manage stacked Git branches
2750,chapel,local-installable,Apache-2.0,https://chapel-lang.org/,Programming language for productive parallel computing at scale
2752,wasmer,local-installable,MIT,https://wasmer.io,Universal WebAssembly Runtime
2753,tomcat@8,local-installable,Apache-2.0,https://tomcat.apache.org/,Implementation of Java Servlet and JavaServer Pages
2754,kubernetes-cli@1.31,local-installable,Apache-2.0,https://kubernetes.io/docs/reference/kubectl/,Kubernetes command-line interface
2755,libopenmpt,local-installable,BSD-3-Clause,https://lib.openmpt.org/libopenmpt/,Software library to decode tracked music files
2756,bwa,local-installable,GPL-3.0-or-later AND MIT,https://github.com/lh3/bwa,Burrow-Wheeler Aligner for pairwise alignment of DNA
2757,latexml,local-installable,LicenseRef-Homebrew-public-domain,https://dlmf.nist.gov/LaTeXML/,LaTeX to XML/HTML/MathML Converter
2758,claude-code-router,local-installable,MIT,https://github.com/musistudio/claude-code-router,Tool to route Claude Code requests to different models and customize any request
2759,robot-framework,local-installable,Apache-2.0,https://robotframework.org/,Open source test framework for acceptance testing
2760,trunk,local-installable,Apache-2.0 OR MIT,https://trunkrs.dev/,"Build, bundle & ship your Rust WASM application to the web"
2761,mq,local-installable,MIT,https://mqlang.org/,Jq-like command-line tool for markdown processing
