rank,tool,access,license,homepage,description
2501,serie,local-installable,MIT,https://github.com/lusingander/serie,Rich git commit graph in your terminal
2502,python-freethreading,local-installable,Python-2.0,https://www.python.org/,"Interpreted, interactive, object-oriented programming language"
2503,c3c,local-installable,LGPL-3.0-only,https://github.com/c3lang/c3c,Compiler for the C3 language
2504,augeas,local-installable,LGPL-2.1-or-later,https://augeas.net/,Configuration editing tool and API
2505,moon,local-installable,MIT,https://moonrepo.dev/moon,"Task runner and repo management tool for the web ecosystem, written in Rust"
2506,xmrig,local-installable,GPL-3.0-or-later,https://github.com/xmrig/xmrig,Monero (XMR) CPU miner
2507,simdutf,local-installable,Apache-2.0 OR MIT,https://simdutf.github.io/simdutf/,"Unicode conversion routines, fast"
2508,sysdig,local-installable,Apache-2.0 AND (GPL-2.0-only OR MIT) AND (GPL-2.0-only WITH Linux-syscall-note),https://sysdig.com/,System-level exploration and troubleshooting tool
2510,prettyping,local-installable,MIT,https://denilsonsa.github.io/prettyping/,Wrapper to colorize and simplify ping's output
2511,tag,local-installable,MIT,https://github.com/jdberry/tag/,Manipulate and query tags on macOS files
2512,code2prompt,local-installable,MIT,https://code2prompt.dev/,CLI tool to convert your codebase into a single LLM prompt
2513,solr,local-installable,Apache-2.0,https://solr.apache.org/,Enterprise search platform from the Apache Lucene project
2516,ldc,local-installable,BSD-3-Clause,https://wiki.dlang.org/LDC,Portable D programming language compiler
2517,f3d,local-installable,BSD-3-Clause,https://f3d.app,Fast and minimalist 3D viewer
2519,libxcb,local-installable,MIT,https://www.x.org/,X.Org: Interface to the X Window System protocol
2520,dockerize,local-installable,MIT,https://github.com/jwilder/dockerize,Utility to simplify running applications in docker containers
2521,imagemagick-full,local-installable,ImageMagick,https://imagemagick.org/index.php,Tools and libraries to manipulate images in many formats
2524,lume,local-installable,MIT,https://github.com/trycua/cua,Create and manage Apple Silicon-native virtual machines
2525,findent,local-installable,BSD-3-Clause,https://www.ratrabbit.nl/ratrabbit/findent/index.html,Indent and beautify Fortran sources and generate dependency information
2526,scikit-image,local-installable,BSD-3-Clause,https://scikit-image.org,Image processing in Python
2527,spice-gtk,local-installable,GPL-2.0-or-later AND LGPL-2.1-or-later AND BSD-3-Clause,https://www.spice-space.org,GTK client/libraries for SPICE
2528,libsixel,local-installable,MIT,https://github.com/saitoha/sixel,SIXEL encoder/decoder implementation
2531,libewf,local-installable,LGPL-3.0-or-later,https://github.com/libyal/libewf,Library for support of the Expert Witness Compression Format
2532,grafana-alloy,local-installable,Apache-2.0,https://grafana.com/oss/alloy-opentelemetry-collector/,OpenTelemetry Collector distribution with programmable pipelines
2533,nload,local-installable,GPL-2.0-or-later,https://www.roland-riegel.de/nload/,Realtime console network usage monitor
2534,sratoolkit,local-installable,LicenseRef-Homebrew-public-domain AND GPL-3.0-or-later AND MIT,https://github.com/ncbi/sra-tools,Data tools for INSDC Sequence Read Archive
