rank,tool,access,license,homepage,description
2818,krakend,local-installable,Apache-2.0,https://www.krakend.io/,Ultra-High performance API Gateway built in Go
2820,kakoune,local-installable,Unlicense,https://github.com/mawww/kakoune,Selection-based modal text editor
2821,vtcode,local-installable,MIT,https://github.com/vinhnx/vtcode,CLI Semantic Coding Agent
2824,dvr-scan,local-installable,BSD-2-Clause,https://www.dvr-scan.com/,Extract scenes with motion from videos
2825,osslsigncode,local-installable,GPL-3.0-or-later,https://github.com/mtrojnar/osslsigncode,OpenSSL based Authenticode signing for PE/MSI/Java CAB files
2827,superhtml,local-installable,MIT,https://github.com/kristoff-it/superhtml,HTML Language Server & Templating Language Library
2829,powerman,local-installable,GPL-2.0-or-later,https://github.com/chaos/powerman,Control (remotely and in parallel) switched power distribution units
2830,c2patool,local-installable,Apache-2.0 OR MIT,https://contentauthenticity.org,CLI for working with C2PA manifests and media assets
2831,rye,local-installable,MIT,https://rye.astral.sh/,Package Management Solution for Python
2832,rmlint,local-installable,GPL-3.0-or-later,https://rmlint.readthedocs.io/en/master/,Extremely fast tool to remove dupes and other lint from your filesystem
2833,inframap,local-installable,MIT,https://github.com/cycloidio/inframap,Read your tfstate or HCL to generate a graph
2834,podofo,local-installable,LGPL-2.0-only AND GPL-2.0-only,https://github.com/podofo/podofo,Library to work with the PDF file format
2835,wasm-pack,local-installable,Apache-2.0 OR MIT,https://drager.github.io/wasm-pack/,Your favorite rust -> wasm workflow tool!
2836,tcpreplay,local-installable,BSD-2-Clause AND BSD-3-Clause AND BSD-4-Clause AND GPL-3.0-or-later AND ISC,https://tcpreplay.appneta.com/,Replay saved tcpdump files at arbitrary speeds
2837,chezscheme,local-installable,Apache-2.0,https://cisco.github.io/ChezScheme/,Implementation of the Chez Scheme language
2838,zmap,local-installable,Apache-2.0,https://zmap.io,Network scanner for Internet-wide network studies
2839,telegram-downloader,local-installable,AGPL-3.0-only,https://docs.iyear.me/tdl/,Telegram Messenger downloader/tools written in Golang
2841,subliminal,local-installable,MIT,https://subliminal.readthedocs.io,Library to search and download subtitles
2842,okta-awscli,local-installable,Apache-2.0,https://github.com/okta-awscli/okta-awscli,Okta authentication for awscli
2844,gulp-cli,local-installable,MIT,https://github.com/gulpjs/gulp-cli,Command-line utility for Gulp
2846,nextdns,local-installable,MIT,https://nextdns.io,CLI for NextDNS's DNS-over-HTTPS (DoH)
2847,gradle-profiler,local-installable,Apache-2.0,https://github.com/gradle/gradle-profiler/,Profiling and benchmarking tool for Gradle builds
2848,claude-cmd,local-installable,MIT,https://github.com/kiliczsh/claude-cmd,Claude Code Commands Manager
2849,khal,local-installable,MIT,https://lostpackets.de/khal/,CLI calendar application
2851,pdfalyzer,local-installable,GPL-3.0-or-later,https://github.com/michelcrypt4d4mus/pdfalyzer,PDF analysis toolkit
