rank,tool,access,license,homepage,description
2790,fceux,local-installable,GPL-2.0-only,https://fceux.com/,All-in-one NES/Famicom Emulator
2791,lmdb,local-installable,OLDAP-2.8,https://www.symas.com/symas-embedded-database-lmdb,Lightning memory-mapped database: key-value data store
2792,openmotif,local-installable,LGPL-2.1-or-later,https://motif.ics.com/motif,LGPL release of the Motif toolkit
2793,synfig,local-installable,GPL-3.0-or-later,https://www.synfig.org/,Command-line renderer
2794,kor,local-installable,MIT,https://github.com/yonahd/kor,CLI tool to discover unused Kubernetes resources
2795,stellar-cli,local-installable,Apache-2.0,https://developers.stellar.org,Stellar command-line tool for interacting with the Stellar network
2796,tex-fmt,local-installable,MIT,https://wgunderwood.github.io/tex-fmt/,Extremely fast LaTeX formatter written in Rust
2797,mago,local-installable,Apache-2.0 OR MIT,https://github.com/carthage-software/mago,Toolchain for PHP to help developers write better code
2798,treemd,local-installable,MIT,https://github.com/epistates/treemd,TUI and CLI dual pane markdown viewer
2799,rabbitmq-c,local-installable,MIT,https://github.com/alanxz/rabbitmq-c,C AMQP client library for RabbitMQ
2800,latexdiff,local-installable,GPL-3.0-or-later,https://www.ctan.org/pkg/latexdiff,Compare and mark up LaTeX file differences
2801,openfst,local-installable,Apache-2.0,https://www.openfst.org/twiki/bin/view/FST/WebHome,Library for weighted finite-state transducers
2802,bmon,local-installable,BSD-2-Clause,https://github.com/tgraf/bmon,Interface bandwidth monitor
2803,fheroes2,local-installable,GPL-2.0-or-later,https://ihhub.github.io/fheroes2/,Recreation of the Heroes of Might and Magic II game engine
2804,go@1.25,local-installable,BSD-3-Clause,https://go.dev/,Open source programming language to build simple/reliable/efficient software
2805,freeswitch,local-installable,MPL-1.1,https://freeswitch.org,Telephony platform to route various communication protocols
2806,dosbox-staging,local-installable,GPL-2.0-or-later,https://dosbox-staging.github.io/,Modernized DOSBox soft-fork
2807,libiscsi,local-installable,LicenseRef-Homebrew-public-domain AND LGPL-2.1-or-later AND GPL-2.0-or-later,https://github.com/sahlberg/libiscsi,Client library and utilities for iscsi
2808,bash-git-prompt,local-installable,BSD-2-Clause,https://github.com/magicmonty/bash-git-prompt,"Informative, fancy bash prompt for Git users"
2809,scalapack,local-installable,BSD-3-Clause,https://netlib.org/scalapack/,High-performance linear algebra for distributed memory machines
2810,libtatsu,local-installable,LGPL-2.1-or-later,https://libimobiledevice.org/,Library handling the communication with Apple's Tatsu Signing Server (TSS)
2813,pmtiles,local-installable,BSD-3-Clause,https://protomaps.com/docs/pmtiles,"Single-file executable tool for creating, reading and uploading PMTiles archives"
2815,localtunnel,local-installable,MIT,https://theboroer.github.io/localtunnel-www/,Exposes your localhost to the world for easy testing and sharing
2816,bazarr,local-installable,GPL-3.0-or-later,https://www.bazarr.media,Companion to Sonarr and Radarr for managing and downloading subtitles
2817,fpc,local-installable,GPL-2.0-or-later,https://www.freepascal.org/,Free Pascal: multi-architecture Pascal compiler
