rank,tool,access,license,homepage,description
2691,cargo-sweep,local-installable,MIT,https://github.com/holmgr/cargo-sweep,Utility for cleaning up unused build files generated by Cargo
2692,clipboard,local-installable,GPL-3.0-or-later,https://getclipboard.app,"Cut, copy, and paste anything, anywhere, all from the terminal"
2693,libxmlb,local-installable,LGPL-2.1-or-later,https://github.com/hughsie/libxmlb,Library for querying compressed XML metadata
2694,a2ps,local-installable,GPL-3.0-or-later,https://www.gnu.org/software/a2ps/,Any-to-PostScript filter
2698,kubernetes-cli@1.32,local-installable,Apache-2.0,https://kubernetes.io/docs/reference/kubectl/,Kubernetes command-line interface
2700,hostess,local-installable,MIT,https://github.com/cbednarski/hostess,Idempotent command-line utility for managing your /etc/hosts file
2701,karchive,local-installable,BSD-2-Clause AND LGPL-2.0-only AND LGPL-2.0-or-later AND (LGPL-2.0-only OR LGPL-3.0-only),https://api.kde.org/karchive-index.html,"Reading, creating, and manipulating file archives"
2702,phoneinfoga,local-installable,GPL-3.0-only,https://sundowndev.github.io/phoneinfoga/,Information gathering framework for phone numbers
2707,riscv64-elf-gdb,local-installable,GPL-3.0-or-later,https://www.gnu.org/software/gdb/,GNU debugger for riscv64-elf cross development
2708,chisel,local-installable,MIT,https://github.com/facebook/chisel,Collection of LLDB commands to assist debugging iOS apps
2709,lux,local-installable,MIT,https://github.com/iawia002/lux,Fast and simple video downloader
2710,bastet,local-installable,GPL-3.0-or-later,https://fph.altervista.org/prog/bastet.html,Bastard Tetris
2711,pydantic,local-installable,MIT,https://github.com/pydantic/pydantic,Data validation using Python type hints
2712,check,local-installable,LGPL-2.1-or-later,https://libcheck.github.io/check/,C unit testing framework
2713,jrnl,local-installable,GPL-3.0-only,https://jrnl.sh/en/stable/,Command-line note taker
2714,pympress,local-installable,GPL-2.0-or-later,https://github.com/Cimbali/pympress/,Simple and powerful dual-screen PDF reader designed for presentations
2716,global,local-installable,GPL-3.0-or-later,https://www.gnu.org/software/global/,Source code tag system
2718,spirv-llvm-translator,local-installable,Apache-2.0 WITH LLVM-exception,https://github.com/KhronosGroup/SPIRV-LLVM-Translator,Tool and a library for bi-directional translation between SPIR-V and LLVM IR
2720,mpi4py,local-installable,BSD-3-Clause,https://mpi4py.github.io/,Python bindings for MPI
2722,allegro,local-installable,Zlib,https://liballeg.org/,C/C++ multimedia library for cross-platform game development
2723,tinyproxy,local-installable,GPL-2.0-or-later,https://tinyproxy.github.io/,HTTP/HTTPS proxy for POSIX systems
2724,pyenv-virtualenvwrapper,local-installable,MIT,https://github.com/pyenv/pyenv-virtualenvwrapper,Alternative to pyenv for managing virtualenvs
2725,ncnn,local-installable,BSD-3-Clause,https://github.com/Tencent/ncnn,High-performance neural network inference framework
2726,felinks,local-installable,GPL-2.0-only,https://github.com/rkd77/elinks,"Text mode browser and Gemini, NNTP, FTP, Gopher, Finger, and BitTorrent client"
2727,hk,local-installable,MIT,https://hk.jdx.dev,Git hook and pre-commit lint manager
2730,dylibbundler,local-installable,MIT,https://github.com/auriamg/macdylibbundler,Utility to bundle libraries into executables for macOS
