rank,tool,access,license,homepage,description
2972,haxe,local-installable,GPL-2.0-or-later AND MIT,https://haxe.org/,Multi-platform programming language
2973,libcerf,local-installable,MIT,https://jugit.fz-juelich.de/mlz/libcerf,Numeric library for complex error functions
2974,kotlin-language-server,local-installable,MIT,https://github.com/fwcd/kotlin-language-server,Intelligent Kotlin support for any editor/IDE using the Language Server Protocol
2975,pscale,local-installable,Apache-2.0,https://www.planetscale.com/,CLI for PlanetScale Database
2977,minipro,local-installable,GPL-3.0-or-later,https://gitlab.com/DavidGriffith/minipro/,Open controller for the MiniPRO TL866xx series of chip programmers
2978,dotslash,local-installable,Apache-2.0,https://dotslash-cli.com,Simplified executable deployment
2979,man-db,local-installable,GPL-2.0-or-later,https://man-db.gitlab.io/man-db/,Unix documentation system
2980,astroterm,local-installable,MIT,https://github.com/da-luce/astroterm,Planetarium for your terminal
2981,bandcamp-dl,local-installable,Unlicense,https://github.com/evolution0/bandcamp-dl,Simple python script to download Bandcamp albums
2982,ruby@3.4,local-installable,Ruby,https://www.ruby-lang.org/,"Powerful, clean, object-oriented scripting language"
2983,git-sizer,local-installable,MIT,https://github.com/github/git-sizer,Compute various size metrics for a Git repository
2984,rdfind,local-installable,GPL-2.0-or-later,https://rdfind.pauldreik.se/,Find duplicate files based on content (NOT file names)
2985,chainloop-cli,local-installable,Apache-2.0,https://docs.chainloop.dev,CLI for interacting with Chainloop
2986,pueue,local-installable,MIT,https://github.com/Nukesor/pueue,Command-line tool for managing long-running shell commands
2987,openfga,local-installable,Apache-2.0,https://openfga.dev/,High performance and flexible authorization/permission engine
2988,freeipmi,local-installable,GPL-3.0-or-later,https://www.gnu.org/software/freeipmi/,In-band and out-of-band IPMI (v1.5/2.0) software
2989,kaskade,local-installable,MIT,https://github.com/sauljabin/kaskade,TUI for Kafka
2990,igraph,local-installable,GPL-2.0-or-later,https://igraph.org/,Network analysis package
2991,libvterm,local-installable,MIT,https://www.leonerd.org.uk/code/libvterm/,C99 library which implements a VT220 or xterm terminal emulator
2992,glade,local-installable,LGPL-2.1-or-later,https://glade.gnome.org/,RAD tool for the GTK+ and GNOME environment
2994,offlineimap,local-installable,GPL-2.0-or-later,https://github.com/OfflineIMAP/offlineimap3,Synchronizes emails between two repositories
2995,libsolv,local-installable,BSD-3-Clause,https://github.com/openSUSE/libsolv,Library for solving packages and reading repositories
2998,matplotplusplus,local-installable,MIT,https://github.com/alandefreitas/matplotplusplus,C++ Graphics Library for Data Visualization
2999,bbtools,local-installable,BSD-3-Clause,https://bbmap.org/,Brian Bushnell's tools for manipulating reads
3000,dateutils,local-installable,BSD-3-Clause,https://www.fresse.org/dateutils/,Tools to manipulate dates with a focus on financial data
