rank,tool,access,license,homepage,description
2879,recc,local-installable,Apache-2.0,https://buildgrid.gitlab.io/recc,Remote Execution Caching Compiler
2880,dynare,local-installable,GPL-3.0-or-later,https://www.dynare.org/,"Platform for economic models, particularly DSGE and OLG models"
2881,logrotate,local-installable,GPL-2.0-or-later,https://github.com/logrotate/logrotate,"Rotates, compresses, and mails system logs"
2882,qrtool,local-installable,CC-BY-4.0 AND (Apache-2.0 OR MIT),https://sorairolake.github.io/qrtool/book/index.html,Utility for encoding or decoding QR code
2883,oasdiff,local-installable,Apache-2.0,https://www.oasdiff.com/,OpenAPI Diff and Breaking Changes
2884,dstack,local-installable,MPL-2.0,https://dstack.ai/,ML workflow orchestration system designed for reproducibility and collaboration
2885,fastmcp,local-installable,Apache-2.0,https://gofastmcp.com/getting-started/welcome,"Fast, Pythonic way to build MCP servers and clients"
2887,bcrypt,local-installable,BSD-3-Clause,https://bcrypt.sourceforge.net/,Cross platform file encryption utility using blowfish
2888,closure-compiler,local-installable,Apache-2.0,https://developers.google.com/closure/compiler,JavaScript optimizing compiler
2889,jack,local-installable,GPL-2.0-or-later,https://jackaudio.org/,Audio Connection Kit
2890,kubetui,local-installable,MIT,https://github.com/sarub0b0/kubetui,TUI tool for monitoring and exploration of Kubernetes resources
2891,ffms2,local-installable,GPL-2.0-or-later,https://github.com/FFMS/ffms2,Libav/ffmpeg based source library and Avisynth plugin
2893,libimagequant,local-installable,GPL-3.0-or-later AND HPND,https://pngquant.org/lib/,Palette quantization library extracted from pnquant2
2895,libmodbus,local-installable,LGPL-2.1-or-later,https://libmodbus.org/,Portable modbus library
2896,cargo-update,local-installable,MIT,https://github.com/nabijaczleweli/cargo-update,Cargo subcommand for checking and applying updates to installed executables
2897,scorecard,local-installable,Apache-2.0,https://github.com/ossf/scorecard,Security health metrics for Open Source
2898,javacc,local-installable,BSD-3-Clause,https://javacc.github.io/javacc/,Parser generator for use with Java applications
2899,volk,local-installable,LGPL-3.0-or-later,https://www.libvolk.org/,Vector Optimized Library of Kernels
2900,vnstat,local-installable,GPL-2.0-only,https://humdi.net/vnstat/,Console-based network traffic monitor
2901,nzbget,local-installable,GPL-2.0-or-later,https://nzbget.com,Binary newsgrabber for nzb files
2903,ignite,local-installable,Apache-2.0,https://docs.ignite.com/,"Build, launch, and maintain any crypto application with Ignite CLI"
2904,jsonnet-bundler,local-installable,Apache-2.0,https://github.com/jsonnet-bundler/jsonnet-bundler,Package manager for Jsonnet
2905,metals,local-installable,Apache-2.0,https://github.com/scalameta/metals,Scala language server
2908,qtbase,local-installable,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND (GPL-3.0-only WITH Qt-GPL-exception-1.0) AND BSD-3-Clause AND GFDL-1.3-no-invariants-only,https://www.qt.io/,Cross-platform application and UI framework
2909,fabric,local-installable,BSD-2-Clause,https://www.fabfile.org/,Library and command-line tool for SSH
