rank,tool,access,license,homepage,description
2629,glooctl,local-installable,Apache-2.0,https://docs.solo.io/gloo-edge/main/reference/cli/glooctl/,Envoy-Powered API Gateway
2630,wtfis,local-installable,MIT,https://github.com/pirxthepilot/wtfis,"Passive hostname, domain, and IP lookup tool"
2631,chsrc,local-installable,GPL-3.0-or-later,https://github.com/RubyMetric/chsrc,Change Source for every software on every platform from the command-line
2633,genact,local-installable,MIT,https://github.com/svenstaro/genact,Nonsense activity generator
2634,rv,local-installable,Apache-2.0 OR MIT,https://github.com/spinel-coop/rv,Ruby version manager
2635,zlib-ng,local-installable,Zlib,https://github.com/zlib-ng/zlib-ng,Zlib replacement with optimizations for next generation systems
2636,libiodbc,local-installable,BSD-3-Clause OR LGPL-2.0-only,https://www.iodbc.org/,Database connectivity layer based on ODBC. (alternative to unixodbc)
2637,changie,local-installable,MIT,https://changie.dev/,Automated changelog tool for preparing releases
2640,mvnvm,local-installable,Apache-2.0,https://bitbucket.org/mjensen/mvnvm/,Maven version manager
2642,rakudo,local-installable,Artistic-2.0,https://rakudo.org,"Mature, production-ready implementation of the Raku language"
2643,gdown,local-installable,MIT,https://github.com/wkentaro/gdown,Google Drive Public File Downloader when Curl/Wget Fails
2644,rgbds,local-installable,MIT,https://rgbds.gbdev.io,Rednex GameBoy Development System
2646,questdb,local-installable,Apache-2.0,https://questdb.io,Time Series Database
2647,editorconfig,local-installable,BSD-2-Clause,https://editorconfig.org/,Maintain consistent coding style between multiple editors
2648,doxx,local-installable,MIT,https://github.com/bgreenwell/doxx,Terminal document viewer for .docx files
2649,katana,local-installable,MIT,https://github.com/projectdiscovery/katana,Crawling and spidering framework
2650,fish-lsp,local-installable,MIT,https://www.fish-lsp.dev,LSP implementation for the fish shell language
2651,ki18n,local-installable,BSD-3-Clause AND LGPL-2.0-or-later AND (LGPL-2.1-only OR LGPL-3.0-only),https://api.kde.org/ki18n-index.html,KDE Gettext-based UI text internationalization
2652,efl,local-installable,GPL-2.0-only AND LGPL-2.1-only AND BSD-2-Clause AND FTL AND zlib-acknowledgement,https://www.enlightenment.org,Enlightenment Foundation Libraries
2653,libphonenumber,local-installable,Apache-2.0,https://github.com/google/libphonenumber,C++ Phone Number library by Google
2654,kn,local-installable,Apache-2.0,https://github.com/knative/client,Command-line interface for managing Knative Serving and Eventing resources
2655,aws-console,local-installable,Apache-2.0,https://github.com/aws-cloudformation/rain,Command-line to use AWS CLI credentials to launch the AWS console in a browser
2656,jiratui,local-installable,MIT,https://jiratui.sh/,Textual User Interface for interacting with Atlassian Jira from your shell
2657,autotrace,local-installable,GPL-2.0-or-later AND LGPL-2.1-or-later,https://autotrace.sourceforge.net/,Convert bitmap to vector graphics
2658,helm-docs,local-installable,GPL-3.0-or-later,https://github.com/norwoodj/helm-docs,Tool for automatically generating markdown documentation for helm charts
2659,cpufetch,local-installable,GPL-2.0-only,https://github.com/Dr-Noob/cpufetch,CPU architecture fetching tool
