rank,tool,access,license,homepage,description
2661,gitg,local-installable,GPL-2.0-or-later,https://wiki.gnome.org/Apps/Gitg,GNOME GUI client to view git repositories
2662,ouch,local-installable,MIT,https://github.com/ouch-org/ouch,Painless compression and decompression for your terminal
2663,grex,local-installable,Apache-2.0,https://github.com/pemistahl/grex,Command-line tool for generating regular expressions
2666,lmod,local-installable,MIT,https://lmod.readthedocs.io,Lua-based environment modules system to modify PATH variable
2667,distrobox,local-installable,GPL-3.0-only,https://distrobox.privatedns.org/,Use any Linux distribution inside your terminal
2668,yle-dl,local-installable,GPL-3.0-or-later,https://aajanki.github.io/yle-dl/index-en.html,Download Yle videos from the command-line
2669,xdot,local-installable,LGPL-3.0-or-later,https://github.com/jrfonseca/xdot.py,Interactive viewer for graphs written in Graphviz's dot language
2670,libaec,local-installable,BSD-2-Clause,https://gitlab.dkrz.de/k202009/libaec,Adaptive Entropy Coding implementing Golomb-Rice algorithm
2671,pygit2,local-installable,GPL-2.0-only WITH GCC-exception-2.0,https://github.com/libgit2/pygit2,Bindings to the libgit2 shared library
2672,libjwt,local-installable,MPL-2.0,https://libjwt.io/,JSON Web Token C library
2673,systemc,local-installable,Apache-2.0,https://systemc.org/overview/systemc/,Core SystemC language and examples
2674,swiftly,local-installable,Apache-2.0,https://github.com/swiftlang/swiftly,Swift toolchain installer and manager
2675,hopenpgp-tools,local-installable,AGPL-3.0-or-later,https://hackage.haskell.org/package/hopenpgp-tools,Command-line tools for OpenPGP-related operations
2677,minizip,local-installable,Zlib,https://www.winimage.com/zLibDll/minizip.html,C library for zip/unzip via zLib
2678,ice,local-installable,GPL-2.0-only,https://zeroc.com,Comprehensive RPC framework
2679,qalculate-qt,local-installable,GPL-2.0-or-later,https://qalculate.github.io/,Multi-purpose desktop calculator
2680,mgba,local-installable,MPL-2.0,https://mgba.io/,Game Boy Advance emulator
2681,cloud-provider-kind,local-installable,Apache-2.0,https://github.com/kubernetes-sigs/cloud-provider-kind,Cloud provider for KIND clusters
2682,alsa-lib,local-installable,LGPL-2.1-or-later AND GPL-2.0-or-later,https://www.alsa-project.org/,Provides audio and MIDI functionality to the Linux operating system
2684,flint,local-installable,LGPL-3.0-or-later,https://flintlib.org/,C library for number theory
2685,mysql-connector-c++,local-installable,GPL-2.0-only WITH Universal-FOSS-exception-1.0,https://github.com/mysql/mysql-connector-cpp,MySQL database connector for C++ applications
2686,smlfmt,local-installable,MIT,https://github.com/shwestrick/smlfmt,Custom parser and code formatter for Standard ML
2687,podlet,local-installable,MPL-2.0,https://github.com/containers/podlet,Generate podman quadlet files from a podman command or compose file
2688,source-highlight,local-installable,GPL-3.0-or-later,https://www.gnu.org/software/src-highlite/,Source-code syntax highlighter
2689,nethogs,local-installable,GPL-2.0-or-later,https://raboof.github.io/nethogs/,Net top tool grouping bandwidth per process
2690,pngcrush,local-installable,LicenseRef-Homebrew-cannot-represent,https://pmt.sourceforge.io/pngcrush/,Optimizer for PNG files
