rank,tool,access,description,homepage,license
3260,jython,local-installable,Python implementation written in Java (successor to JPython),https://www.jython.org/,PSF-2.0
3261,joern,local-installable,Open-source code analysis platform based on code property graphs,https://joern.io/,Apache-2.0
3262,utf8cpp,local-installable,UTF-8 with C++ in a Portable Way,https://github.com/nemtrif/utfcpp,BSL-1.0
3263,go-jira,local-installable,Simple jira command-line client in Go,https://github.com/go-jira/jira,Apache-2.0
3266,simple-tiles,local-installable,Image generation library for spatial data,https://github.com/propublica/simple-tiles,MIT
3267,dagu,local-installable,Lightweight and powerful workflow engine,https://dagu.sh,GPL-3.0-only
3268,agda,local-installable,Dependently typed functional programming language,https://wiki.portal.chalmers.se/agda/,MIT AND BSD-3-Clause
3269,qca,local-installable,Qt Cryptographic Architecture (QCA),https://userbase.kde.org/QCA,LGPL-2.1-or-later
3270,libnice-gstreamer,local-installable,GStreamer Plugin for libnice,https://wiki.freedesktop.org/nice/,LGPL-2.1-only OR MPL-1.1
3273,dolphie,local-installable,Feature-rich top tool for monitoring MySQL,https://github.com/charles-001/dolphie,GPL-3.0-or-later
3274,fzf-make,local-installable,Fuzzy finder with preview window for various command runners including make,https://github.com/kyu08/fzf-make,MIT
3276,imap-backup,local-installable,Backup GMail (or other IMAP) accounts to disk,https://github.com/joeyates/imap-backup,MIT
3277,qbs,local-installable,Build tool for developing projects across multiple platforms,https://wiki.qt.io/Qbs,(LGPL-3.0-only OR GPL-2.0-only) AND (LGPL-3.0-only OR (LGPL-2.1-only WITH Qt-LGPL-exception-1.1)) AND (GPL-3.0-only WITH Qt-GPL-exception-1.0)
3278,chkrootkit,local-installable,Rootkit detector,https://www.chkrootkit.org/,GPL-2.0-or-later
3279,payload-dumper-go,local-installable,Android OTA payload dumper written in Go,https://github.com/ssut/payload-dumper-go,Apache-2.0
3280,regal,local-installable,Linter and language server for Rego,https://www.openpolicyagent.org/projects/regal,Apache-2.0
3282,dosfstools,local-installable,"Tools to create, check and label file systems of the FAT family",https://github.com/dosfstools,GPL-3.0-or-later
3283,spice-protocol,local-installable,Headers for SPICE protocol,https://www.spice-space.org/,BSD-3-Clause
3285,otel-cli,local-installable,Tool for sending events from shell scripts & similar environments,https://github.com/equinix-labs/otel-cli,Apache-2.0
3286,ansible@10,local-installable,"Automate deployment, configuration, and upgrading",https://www.ansible.com/,GPL-3.0-or-later
3287,px,local-installable,Ps and top for human beings (px / ptop),https://github.com/walles/px,MIT
3290,adios2,local-installable,Next generation of ADIOS developed in the Exascale Computing Program,https://adios2.readthedocs.io,Apache-2.0
3291,silicon,local-installable,Create beautiful image of your source code,https://github.com/Aloxaf/silicon/,MIT
3292,typos-lsp,local-installable,Language Server for typos-cli,https://github.com/tekumara/typos-lsp,MIT
3293,djvu2pdf,local-installable,Small tool to convert Djvu files to PDF files,https://0x2a.at/site/projects/djvu2pdf/,GPL-3.0-or-later
3294,fox,local-installable,Toolkit for developing Graphical User Interfaces easily,http://fox-toolkit.org/,LGPL-2.1-or-later
