rank,tool,access,description,homepage,license
3880,druid,local-installable,"High-performance, column-oriented, distributed data store",https://druid.apache.org/,Apache-2.0
3882,synergy-core,local-installable,"Synergy, the keyboard and mouse sharing tool",https://symless.com/synergy,GPL-2.0-only WITH openvpn-openssl-exception
3883,spacer,local-installable,Small command-line utility for adding spacers to command output,https://github.com/samwho/spacer,MIT
3884,vunnel,local-installable,Tool for collecting vulnerability data from various sources,https://github.com/anchore/vunnel,Apache-2.0
3885,mimalloc,local-installable,Compact general purpose allocator,https://github.com/microsoft/mimalloc,MIT
3887,tarantool,local-installable,In-memory database and Lua application server,https://tarantool.org/,BSD-2-Clause
3888,scoutsuite,local-installable,Open source multi-cloud security-auditing tool,https://github.com/nccgroup/ScoutSuite,GPL-2.0-only
3890,argc,local-installable,Easily create and use cli based on bash script,https://github.com/sigoden/argc,Apache-2.0 OR MIT
3891,httpstat,local-installable,Curl statistics made simple,https://github.com/reorx/httpstat,MIT
3893,vcftools,local-installable,Tools for working with VCF files,https://vcftools.github.io/,LGPL-3.0-only
3894,proctools,local-installable,"OpenBSD and Darwin versions of pgrep, pkill, and pfind",https://proctools.sourceforge.net/,BSD-3-Clause AND BSD-4-Clause-UC
3896,wildfly-as,local-installable,Managed application runtime for building applications,https://www.wildfly.org/,Apache-2.0
3897,openkim-models,local-installable,All OpenKIM Models compatible with kim-api,https://openkim.org,CDDL-1.0
3898,mdfried,local-installable,Terminal markdown viewer,https://github.com/benjajaja/mdfried,GPL-3.0-or-later
3899,genometools,local-installable,Versatile open source genome analysis software,https://genometools.org/,ISC
3900,sqlpage,local-installable,Web app builder using SQL queries to create dynamic webapps quickly,https://sql-page.com/,MIT
3901,cc65,local-installable,6502 C compiler,https://cc65.github.io/cc65/,Zlib
3902,datamash,local-installable,"Tool to perform numerical, textual & statistical operations",https://www.gnu.org/software/datamash/,GPL-3.0-or-later
3904,llvm@12,local-installable,Next-gen compiler infrastructure,https://llvm.org/,Apache-2.0 WITH LLVM-exception
3905,libre,local-installable,Toolkit library for asynchronous network I/O with protocol stacks,https://github.com/baresip/re,BSD-3-Clause
3906,tintin,local-installable,MUD client,https://tintin.mudhalla.net/,GPL-3.0-or-later
3907,evans,local-installable,More expressive universal gRPC client,https://github.com/ktr0731/evans,MIT
3908,bosh-cli,local-installable,Cloud Foundry BOSH CLI v2,https://bosh.io/docs/cli-v2/,Apache-2.0
3909,playwright-cli,local-installable,"CLI for Playwright: record/generate code, inspect selectors, take screenshots",https://playwright.dev,Apache-2.0
3910,mongo-cxx-driver,local-installable,C++ driver for MongoDB,https://github.com/mongodb/mongo-cxx-driver,Apache-2.0
3911,mlpack,local-installable,Scalable C++ machine learning library,https://www.mlpack.org,BSD-3-Clause AND MPL-2.0 AND BSL-1.0 AND MIT
