rank,tool,access,description,homepage,license
3646,linkerd,local-installable,Command-line utility to interact with linkerd,https://linkerd.io,Apache-2.0
3647,gupnp,local-installable,Framework for creating UPnP devices and control points,https://wiki.gnome.org/Projects/GUPnP,LGPL-2.0-or-later
3648,rcm,local-installable,RC file (dotfile) management,https://thoughtbot.github.io/rcm/rcm.7.html,BSD-3-Clause
3649,ggc,local-installable,Modern Git CLI,https://github.com/bmf-san/ggc,MIT
3650,vorbis-tools,local-installable,Ogg Vorbis CODEC tools,https://github.com/xiph/vorbis-tools,LGPL-2.0-or-later AND GPL-2.0-or-later AND GPL-2.0-only
3651,tmux-mem-cpu-load,local-installable,"CPU, RAM memory, and load monitor for use with tmux",https://github.com/thewtex/tmux-mem-cpu-load,Apache-2.0
3652,gerbv,local-installable,Gerber (RS-274X) viewer,https://gerbv.github.io/,GPL-2.0-or-later
3653,nbdime,local-installable,Jupyter Notebook Diff and Merge tools,https://nbdime.readthedocs.io,BSD-3-Clause
3654,libsigrok,local-installable,Drivers for logic analyzers and other supported devices,https://sigrok.org/,GPL-3.0-or-later AND LGPL-3.0-or-later AND GPL-2.0-or-later AND LGPL-2.1-or-later
3656,nom,local-installable,RSS reader for the terminal,https://github.com/guyfedwards/nom,GPL-3.0-only
3658,kerl,local-installable,Easy building and installing of Erlang/OTP instances,https://github.com/kerl/kerl,MIT
3659,collectd,local-installable,Statistics collection and monitoring daemon,https://collectd.org/,MIT
3660,eigenpy,local-installable,Python bindings of Eigen library with Numpy support,https://github.com/stack-of-tasks/eigenpy,BSD-2-Clause
3661,espflash,local-installable,Serial flasher utility for Espressif SoCs and modules based on esptool.py,https://github.com/esp-rs/espflash,MIT OR Apache-2.0
3662,erlang@26,local-installable,Programming language for highly scalable real-time systems,https://www.erlang.org/,Apache-2.0
3663,loc,local-installable,Count lines of code quickly,https://github.com/cgag/loc,MIT
3664,pan,local-installable,Usenet newsreader that's good at both text and binaries,https://gitlab.gnome.org/GNOME/pan,GPL-2.0-only
3665,spaceman-diff,local-installable,Diff images from the command-line,https://github.com/holman/spaceman-diff,MIT
3666,malcontent,local-installable,"Supply Chain Attack Detection, via context differential analysis and YARA",https://github.com/chainguard-dev/malcontent,Apache-2.0
3667,azion,local-installable,CLI for the Azion service,https://github.com/aziontech/azion,MIT
3668,qtsvg,local-installable,Classes for displaying the contents of SVG files,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND BSD-3-Clause
3669,speex,local-installable,Audio codec designed for speech,https://speex.org/,BSD-3-Clause
3670,spectra,local-installable,Header-only C++ library for large scale eigenvalue problems,https://spectralib.org,MPL-2.0
3672,openapi-diff,local-installable,Utility for comparing two OpenAPI specifications,https://github.com/OpenAPITools/openapi-diff,Apache-2.0
3673,dyld-headers,local-installable,Header files for the dynamic linker,https://opensource.apple.com/,APSL-2.0
3675,chardet,local-installable,Python character encoding detector,https://chardet.readthedocs.io/en/latest/,LGPL-2.1-or-later
