rank,tool,access,description,homepage,license
3942,sql-language-server,local-installable,Language Server for SQL,https://github.com/joe-re/sql-language-server,MIT
3943,grok,local-installable,DRY and RAD for regular expressions and then some,https://github.com/jordansissel/grok,BSD-2-Clause
3944,js-beautify,local-installable,"JavaScript, CSS and HTML unobfuscator and beautifier",https://beautifier.io,MIT
3945,libwmf,local-installable,Library for converting WMF (Window Metafile Format) files,https://github.com/caolanm/libwmf,LGPL-2.0-or-later AND GPL-2.0-or-later AND GD
3946,spice-server,local-installable,Implements the server side of the SPICE protocol,https://www.spice-space.org/,LGPL-2.1-or-later
3949,tre,local-installable,"Lightweight, POSIX-compliant regular expression (regex) library",https://github.com/laurikari/tre,BSD-2-Clause
3950,djview4,local-installable,Viewer for the DjVu image format,https://djvu.sourceforge.net/djview4.html,GPL-2.0-or-later
3951,libsm,local-installable,X.Org: X Session Management Library,https://www.x.org/,MIT
3952,libxpm,local-installable,X.Org: X Pixmap (XPM) image file format library,https://www.x.org/,MIT
3953,qtdeclarative,local-installable,"QML, Qt Quick and several related modules",https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND (GPL-3.0-only WITH Qt-GPL-exception-1.0) AND BSD-2-Clause AND BSD-3-Clause
3954,gengetopt,local-installable,Generate C code to parse command-line arguments via getopt_long,https://www.gnu.org/software/gengetopt/,GPL-3.0-or-later
3955,ldid-procursus,local-installable,Put real or fake signatures in a Mach-O binary,https://github.com/ProcursusTeam/ldid,AGPL-3.0-or-later
3956,bilix,local-installable,Lightning-fast asynchronous download tool for bilibili and more,https://github.com/HFrost0/bilix,Apache-2.0
3957,alda,local-installable,Music programming language for musicians,https://alda.io,EPL-2.0
3958,inih,local-installable,Simple .INI file parser in C,https://github.com/benhoyt/inih,BSD-3-Clause
3959,amp,local-installable,Text editor for your terminal,https://amp.rs,GPL-3.0-or-later
3960,eiffelstudio,local-installable,Development environment for the Eiffel language,https://www.eiffel.com,GPL-2.0-only
3961,mkvtomp4,local-installable,Convert mkv files to mp4,https://github.com/gavinbeatty/mkvtomp4/,MIT
3962,quazip,local-installable,C++ wrapper over Gilles Vollant's ZIP/UNZIP package,https://github.com/stachenov/quazip/,LGPL-2.1-only
3963,bluetoothconnector,local-installable,Connect and disconnect Bluetooth devices,https://github.com/lapfelix/BluetoothConnector,MIT
3964,orc-tools,local-installable,ORC java command-line tools and utilities,https://orc.apache.org/,Apache-2.0
3966,release-it,local-installable,Generic CLI tool to automate versioning and package publishing related tasks,https://github.com/release-it/release-it,MIT
3968,spack,local-installable,Package manager that builds multiple versions and configurations of software,https://spack.io,Apache-2.0 OR MIT
3970,duc,local-installable,Suite of tools for inspecting disk usage,https://github.com/zevv/duc,LGPL-3.0-only
3971,qtshadertools,local-installable,Provides tools for the cross-platform Qt shader pipeline,https://www.qt.io/,(LGPL-3.0-only OR GPL-2.0-only OR GPL-3.0-only) AND (GPL-3.0-only WITH Qt-GPL-exception-1.0) AND (Apache-2.0 AND MIT-Khronos-old) AND (BSD-3-Clause AND MIT-Khronos-old AND Apache-2.0 AND AML-glslang AND (GPL-3.0-or-later WITH Bison-exception-2.2)) AND BSD-3-Clause
3972,mailcatcher,local-installable,Catches mail and serves it through a dream,https://mailcatcher.me,MIT
