rank,tool,access,description,homepage,license
4201,openmsx,local-installable,MSX emulator,https://openmsx.org/,GPL-2.0-or-later
4202,selene,local-installable,Blazing-fast modern Lua linter,https://kampfkarren.github.io/selene,MPL-2.0
4203,flit,local-installable,Simplified packaging of Python modules,https://github.com/pypa/flit,BSD-3-Clause
4204,html2markdown,local-installable,Convert HTML to Markdown,https://html-to-markdown.com,MIT
4205,gtk-gnutella,local-installable,Share files in a peer-to-peer (P2P) network,https://gtk-gnutella.sourceforge.io,GPL-2.0-or-later
4206,fcgi,local-installable,Protocol for interfacing interactive programs with a web server,https://fastcgi-archives.github.io/,OML
4207,latex2html,local-installable,LaTeX-to-HTML translator,https://www.latex2html.org,GPL-2.0-or-later
4208,nmstatectl,local-installable,Command-line tool that manages host networking settings in a declarative manner,https://nmstate.io/,Apache-2.0
4211,gnome-autoar,local-installable,GNOME library for archive handling,https://github.com/GNOME/gnome-autoar,LGPL-2.1-or-later
4212,libxmu,local-installable,X.Org: X miscellaneous utility routines library,https://www.x.org/,MIT
4213,ansible-cmdb,local-installable,Generates static HTML overview page from Ansible facts,https://github.com/fboender/ansible-cmdb,GPL-3.0-or-later
4214,scotch,local-installable,"Package for graph partitioning, graph clustering, and sparse matrix ordering",https://gitlab.inria.fr/scotch/scotch,CECILL-C
4215,leela-zero,local-installable,Neural Network Go engine with no human-provided knowledge,https://zero.sjeng.org/,GPL-3.0-or-later
4217,oauth2_proxy,local-installable,Reverse proxy for authenticating users via OAuth 2 providers,https://oauth2-proxy.github.io/oauth2-proxy/,MIT
4218,gau,local-installable,"Open Threat Exchange, Wayback Machine, and Common Crawl URL fetcher",https://github.com/lc/gau,MIT
4219,libmodplug,local-installable,Library from the Modplug-XMMS project,https://modplug-xmms.sourceforge.net/,LicenseRef-Homebrew-public-domain
4220,kamel,local-installable,Apache Camel K CLI,https://camel.apache.org/,Apache-2.0
4221,lilv,local-installable,C library to use LV2 plugins,https://drobilla.net/software/lilv.html,ISC
4222,nudoku,local-installable,Ncurses based sudoku game,https://jubalh.github.io/nudoku/,GPL-3.0-or-later
4223,qbittorrent-cli,local-installable,Command-line interface for qBittorrent written in Go,https://github.com/ludviglundgren/qbittorrent-cli,MIT
4224,showkey,local-installable,Simple keystroke visualizer,http://www.catb.org/~esr/showkey/,MIT
4225,stencil,local-installable,Modern living-template engine for evolving repositories,https://stencil.rgst.io,Apache-2.0
4226,chronograf,local-installable,Open source monitoring and visualization UI for the TICK stack,https://docs.influxdata.com/chronograf/latest/,AGPL-3.0-or-later
4227,icoutils,local-installable,Create and extract MS Windows icons and cursors,https://www.nongnu.org/icoutils/,GPL-3.0-or-later
4228,gnustep-base,local-installable,"Library of general-purpose, non-graphical Objective C objects",https://github.com/gnustep/libs-base,GPL-2.0-or-later
4229,wifi-password,local-installable,Show the current WiFi network password,https://github.com/rauchg/wifi-password,MIT
