rank,tool,access,description,homepage,license
4359,rattler-build,local-installable,Universal conda package builder,https://rattler.build,BSD-3-Clause
4360,libpthread-stubs,local-installable,X.Org: pthread-stubs.pc,https://www.x.org/,MIT
4362,gersemi,local-installable,Formatter to make your CMake code the real treasure,https://github.com/BlankSpruce/gersemi,MPL-2.0
4363,librespot,local-installable,Open Source Spotify client library,https://github.com/librespot-org/librespot,MIT
4365,got,local-installable,Version control system,https://gameoftrees.org/,ISC
4366,podsync,local-installable,"Turn YouTube or Vimeo channels, users, or playlists into podcast feeds",https://github.com/mxpv/podsync,MIT
4367,wasi-libc,local-installable,Libc implementation for WebAssembly,https://wasi.dev,Apache-2.0 AND MIT AND (Apache-2.0 WITH LLVM-exception)
4368,ncmdump,local-installable,Convert Netease Cloud Music ncm files to mp3/flac files,https://github.com/taurusxin/ncmdump,MIT
4369,kin,local-installable,Sane PBXProj files,https://github.com/Serchinastico/Kin,Apache-2.0
4370,yorkie,local-installable,Document store for collaborative applications,https://yorkie.dev/,Apache-2.0
4371,libhandy,local-installable,Building blocks for modern adaptive GNOME apps,https://gitlab.gnome.org/GNOME/libhandy,LGPL-2.1-or-later
4372,semver,local-installable,Semantic version parser for node (the one npm uses),https://github.com/npm/node-semver,ISC
4373,dropbear,local-installable,Small SSH server/client for POSIX-based system,https://matt.ucc.asn.au/dropbear/dropbear.html,MIT
4374,ninvaders,local-installable,Space Invaders in the terminal,https://ninvaders.sourceforge.net/,GPL-2.0-or-later
4375,pkg-config-wrapper,local-installable,Easier way to include C code in your Go program,https://github.com/influxdata/pkg-config,MIT
4376,cmark,local-installable,"Strongly specified, highly compatible implementation of Markdown",https://commonmark.org/,BSD-2-Clause
4377,excalidraw-converter,local-installable,Command-line tool for porting Excalidraw diagrams to Gliffy,https://github.com/sindrel/excalidraw-converter,MIT
4378,mani,local-installable,CLI tool to help you manage repositories,https://manicli.com,MIT
4381,jsign,local-installable,"Tool for signing Windows executable files, installers and scripts",https://ebourg.github.io/jsign/,Apache-2.0
4383,qtnetworkauth,local-installable,Provides support for OAuth-based authorization to online services,https://www.qt.io/,GPL-3.0-only AND BSD-3-Clause
4384,neocmakelsp,local-installable,Another cmake lsp,https://neocmakelsp.github.io/,MIT
4385,projectm,local-installable,Milkdrop-compatible music visualizer,https://github.com/projectM-visualizer/projectm,LGPL-2.1-or-later
4386,uuu,local-installable,"Universal Update Utility, mfgtools 3.0. NXP I.MX Chip image deploy tools",https://github.com/nxp-imx/mfgtools,BSD-3-Clause
4387,cargo-generate,local-installable,Use pre-existing git repositories as templates,https://github.com/cargo-generate/cargo-generate,Apache-2.0 OR MIT
4388,qtdatavis3d,local-installable,Provides functionality for 3D visualization,https://www.qt.io/,GPL-3.0-only AND BSD-3-Clause
4389,qwt,local-installable,Qt Widgets for Technical Applications,https://qwt.sourceforge.io/,LGPL-2.1-only WITH Qwt-exception-1.0
