rank,tool,access,description,homepage,license
4459,spandsp,local-installable,DSP functions library for telephony,https://www.soft-switch.org/,LGPL-2.1-only
4460,x86_64-elf-grub,local-installable,GNU GRUB bootloader for x86_64-elf,https://savannah.gnu.org/projects/grub,GPL-3.0-or-later
4461,ocm,local-installable,CLI for the Red Hat OpenShift Cluster Manager,https://www.openshift.com/,Apache-2.0
4463,wayland,local-installable,Protocol for a compositor to talk to its clients,https://wayland.freedesktop.org,MIT
4464,pcalc,local-installable,"Calculator for those working with multiple bases, sizes, and close to the bits",https://github.com/alt-romes/programmer-calculator,GPL-3.0-or-later
4466,dsda-doom,local-installable,Fork of prboom+ with a focus on speedrunning,https://github.com/kraflab/dsda-doom,GPL-2.0-only
4467,harsh,local-installable,Habit tracking for geeks,https://github.com/wakatara/harsh,MIT
4468,cmake-language-server,local-installable,Language Server for CMake,https://github.com/regen100/cmake-language-server,MIT
4469,gumbo-parser,local-installable,C99 library for parsing HTML5,https://codeberg.org/gumbo-parser/gumbo-parser,Apache-2.0
4470,mawk,local-installable,Interpreter for the AWK Programming Language,https://invisible-island.net/mawk/,GPL-2.0-only
4471,tinyxml,local-installable,XML parser,https://sourceforge.net/projects/tinyxml/,Zlib
4475,gtksourceviewmm3,local-installable,C++ bindings for gtksourceview3,https://gitlab.gnome.org/GNOME/gtksourceviewmm,LGPL-2.1-or-later
4476,lcm,local-installable,Libraries and tools for message passing and data marshalling,https://lcm-proj.github.io/,LGPL-2.1-or-later
4477,webtorrent-cli,local-installable,Command-line streaming torrent client,https://webtorrent.io/,MIT
4479,qtquickeffectmaker,local-installable,Tool to create custom Qt Quick shader effects,https://www.qt.io/,(GPL-3.0-only WITH Qt-GPL-exception-1.0) AND BSD-3-Clause
4481,aide,local-installable,File and directory integrity checker,https://aide.github.io/,GPL-2.0-or-later
4483,rustic,local-installable,"Fast, encrypted, and deduplicated backups powered by Rust",https://rustic.cli.rs,Apache-2.0
4484,whalebrew,local-installable,"Homebrew, but with Docker images",https://github.com/whalebrew/whalebrew,Apache-2.0
4485,pandoc-plot,local-installable,Render and include figures in Pandoc documents using many plotting toolkits,https://github.com/LaurentRDC/pandoc-plot,GPL-2.0-or-later
4486,libpq@17,local-installable,Postgres C API library,https://www.postgresql.org/docs/17/libpq.html,PostgreSQL
4487,apkleaks,local-installable,"Scanning APK file for URIs, endpoints & secrets",https://github.com/dwisiswant0/apkleaks,Apache-2.0
4489,libnet,local-installable,C library for creating IP packets,https://github.com/libnet/libnet,BSD-2-Clause
4490,gi-docgen,local-installable,Documentation tool for GObject-based libraries,https://gnome.pages.gitlab.gnome.org/gi-docgen/,Apache-2.0 OR GPL-3.0-or-later
4491,apache-geode,local-installable,In-memory Data Grid for fast transactional data processing,https://geode.apache.org/,Apache-2.0
4493,bkcrack,local-installable,Crack legacy zip encryption with Biham and Kocher's known plaintext attack,https://github.com/kimci86/bkcrack,Zlib
4495,fatsort,local-installable,Sorts FAT16 and FAT32 partitions,https://fatsort.sourceforge.io/,GPL-2.0-or-later
4498,gtkglext,local-installable,OpenGL extension to GTK+,https://gitlab.gnome.org/Archive/gtkglext,LGPL-2.1-or-later
4499,trezor-agent,local-installable,Hardware SSH/GPG agent for Trezor and Ledger,https://github.com/romanz/trezor-agent,LGPL-3.0-only
4500,proftpd,local-installable,Highly configurable GPL-licensed FTP server software,http://www.proftpd.org/,GPL-2.0-or-later
