rank,tool,access,description,homepage,license
4533,dict,local-installable,Dictionary Server Protocol (RFC2229) client,https://dict.org/bin/Dict,GPL-2.0-or-later
4534,alpine,local-installable,News and email agent,https://alpineapp.email,Apache-2.0
4535,bombardier,local-installable,Cross-platform HTTP benchmarking tool,https://github.com/codesenberg/bombardier,MIT
4536,chmlib,local-installable,Library for dealing with Microsoft ITSS/CHM files,https://www.jedrea.com/chmlib/,LGPL-2.1-or-later
4537,flarectl,local-installable,CLI application for interacting with a Cloudflare account,https://github.com/cloudflare/cloudflare-go/tree/v0/cmd/flarectl,BSD-3-Clause
4538,dockly,local-installable,Immersive terminal interface for managing docker containers and services,https://lirantal.github.io/dockly/,MIT
4539,slepc,local-installable,Scalable Library for Eigenvalue Problem Computations (real),https://slepc.upv.es,BSD-2-Clause
4541,httpyac,local-installable,"Quickly and easily send REST, SOAP, GraphQL and gRPC requests",https://httpyac.github.io/,MIT
4542,nats-streaming-server,local-installable,Lightweight cloud messaging system,https://nats.io,Apache-2.0
4543,libsigc++,local-installable,Callback framework for C++,https://libsigcplusplus.github.io/libsigcplusplus/,LGPL-3.0-or-later
4544,libpanel,local-installable,Dock/panel library for GTK 4,https://gitlab.gnome.org/GNOME/libpanel,LGPL-3.0-or-later
4545,osmosis,local-installable,Command-line OpenStreetMap data processor,https://wiki.openstreetmap.org/wiki/Osmosis,LicenseRef-Homebrew-public-domain
4547,oxen,local-installable,Data VCS for structured and unstructured machine learning datasets,https://www.oxen.ai/,Apache-2.0
4548,plutoprint,local-installable,Generate PDFs and Images from HTML,https://github.com/plutoprint/plutoprint,MIT
4549,bfs,local-installable,Breadth-first version of find,https://tavianator.com/projects/bfs.html,0BSD
4550,sqliteodbc,local-installable,ODBC driver for SQLite,https://ch-werner.hier-im-netz.de/sqliteodbc/,TCL
4552,flix,local-installable,"Statically typed functional, imperative, and logic programming language",https://flix.dev/,Apache-2.0
4553,rethinkdb,local-installable,Open-source database for the realtime web,https://rethinkdb.com/,Apache-2.0
4554,yo,local-installable,CLI tool for running Yeoman generators,https://yeoman.io,BSD-2-Clause
4555,ntl,local-installable,C++ number theory library,https://libntl.org,LGPL-2.1-or-later
4556,microsocks,local-installable,"Tiny, portable SOCKS5 server with very moderate resource usage",https://github.com/rofl0r/microsocks,MIT
4557,lue-reader,local-installable,Terminal eBook reader with text-to-speech and multi-format support,https://github.com/superstarryeyes/lue,GPL-3.0-only
4559,mcp-server-kubernetes,local-installable,MCP Server for kubernetes management commands,https://github.com/Flux159/mcp-server-kubernetes,MIT
4560,jpeginfo,local-installable,Prints information and tests integrity of JPEG/JFIF files,https://www.kokkonen.net/tjko/projects.html,GPL-3.0-or-later
4562,bashunit,local-installable,Simple testing library for bash scripts,https://bashunit.typeddevs.com,MIT
4563,influxdb@2,local-installable,"Time series, events, and metrics database",https://influxdata.com/time-series-platform/influxdb/,MIT
