rank,tool,access,description,homepage,license
4691,xurls,local-installable,Extract urls from text,https://github.com/mvdan/xurls,BSD-3-Clause
4692,tz,local-installable,CLI time zone visualizer,https://github.com/oz/tz,GPL-3.0-or-later
4693,mysqltuner,local-installable,Increase performance and stability of a MySQL installation,https://mysqltuner.com/,GPL-3.0-or-later
4694,bsdiff,local-installable,Generate and apply patches to binary files,https://www.daemonology.net/bsdiff/,BSD-2-Clause
4695,feluda,local-installable,Detect license usage restrictions in your project,https://github.com/anistark/feluda,MIT
4697,cargo-auditable,local-installable,Make production Rust binaries auditable,https://github.com/rust-secure-code/cargo-auditable,Apache-2.0 OR MIT
4698,ecm,local-installable,Prepare CD image files so they compress better,https://web.archive.org/web/20140227165748/www.neillcorlett.com/ecm/,GPL-2.0-or-later
4699,gopeed,local-installable,Modern download manager that supports all platform,https://gopeed.com,GPL-3.0-or-later
4700,libid3tag,local-installable,ID3 tag manipulation library,https://codeberg.org/tenacityteam/libid3tag,GPL-2.0-only
4701,crow,local-installable,Fast and Easy to use microframework for the web,https://crowcpp.org,BSD-3-Clause
4703,alive2,local-installable,Automatic verification of LLVM optimizations,https://github.com/AliveToolkit/alive2,MIT
4704,webdav,local-installable,Simple and standalone WebDAV server,https://github.com/hacdias/webdav,MIT
4705,aicommits,local-installable,Writes your git commit messages for you with AI,https://github.com/Nutlope/aicommits,MIT
4706,dblab,local-installable,Database client every command-line junkie deserves,https://dblab.app/,MIT
4707,cdogs-sdl,local-installable,Classic overhead run-and-gun game,https://cxong.github.io/cdogs-sdl/,GPL-2.0-or-later
4708,center-im,local-installable,Text-mode multi-protocol instant messaging client,https://github.com/petrpavlu/centerim5,GPL-2.0-or-later
4709,qdmr,local-installable,Codeplug programming tool for DMR radios,https://dm3mat.darc.de/qdmr/,GPL-3.0-or-later
4711,airspy,local-installable,Driver and tools for a software-defined radio,https://airspy.com/,GPL-2.0-or-later
4712,libgsm,local-installable,Lossy speech compression library,https://www.quut.com/gsm/,TU-Berlin-2.0
4713,easyeda2kicad,local-installable,Converts electronic components from EasyEDA or LCSC to a KiCad library,https://github.com/uPesy/easyeda2kicad.py,AGPL-3.0-or-later
4715,png++,local-installable,C++ wrapper for libpng library,https://www.nongnu.org/pngpp/,BSD-3-Clause
4716,uni,local-installable,Unicode database query tool for the command-line,https://github.com/arp242/uni,MIT
4717,fuseki,local-installable,SPARQL server,https://jena.apache.org/documentation/fuseki2/,Apache-2.0
4719,jenkins-job-builder,local-installable,Configure Jenkins jobs with YAML files stored in Git,https://docs.openstack.org/infra/jenkins-job-builder/,Apache-2.0
4721,retire,local-installable,Scanner detecting the use of JavaScript libraries with known vulnerabilities,https://retirejs.github.io/retire.js/,Apache-2.0
4724,cargo-release,local-installable,Cargo subcommand `release`: everything about releasing a rust crate,https://github.com/crate-ci/cargo-release,Apache-2.0 OR MIT
