rank,tool,access,description,homepage,license
4564,qttranslations,local-installable,Qt translation catalogs,https://www.qt.io/,BSD-3-Clause
4565,garble,local-installable,Obfuscate Go builds,https://github.com/burrowers/garble,BSD-3-Clause
4566,astgen,local-installable,Generate AST in json format for JS/TS,https://github.com/joernio/astgen,Apache-2.0
4568,orientdb,local-installable,Graph database,https://github.com/orientechnologies/orientdb/,Apache-2.0
4569,amber,local-installable,"Crystal web framework. Bare metal performance, productivity and happiness",https://amberframework.org/,MIT
4570,halide,local-installable,"Language for fast, portable data-parallel computation",https://halide-lang.org,MIT
4571,i686-elf-binutils,local-installable,GNU Binutils for i686-elf cross development,https://www.gnu.org/software/binutils/,GPL-3.0-or-later
4573,acl2,local-installable,Logic and programming language in which you can model computer systems,https://www.cs.utexas.edu/~moore/acl2/,BSD-3-Clause
4574,atkmm,local-installable,Official C++ interface for the ATK accessibility toolkit library,https://www.gtkmm.org/,LGPL-2.1-or-later
4575,xbyak,local-installable,"C++ JIT assembler for x86 (IA32), x64 (AMD64, x86-64)",https://github.com/herumi/xbyak,BSD-3-Clause
4576,xsimd,local-installable,"Modern, portable C++ wrappers for SIMD intrinsics",https://xsimd.readthedocs.io/en/latest/,BSD-3-Clause
4577,s4cmd,local-installable,Super S3 command-line tool,https://github.com/bloomreach/s4cmd,Apache-2.0
4578,grizzly,local-installable,Command-line tool for managing and automating Grafana dashboards,https://grafana.github.io/grizzly/,Apache-2.0
4580,massdns,local-installable,High-performance DNS stub resolver,https://github.com/blechschmidt/massdns,GPL-3.0-only
4581,libseccomp,local-installable,Interface to the Linux Kernel's syscall filtering mechanism,https://github.com/seccomp/libseccomp,LGPL-2.1-only
4582,moodle-dl,local-installable,"Downloads course content fast from Moodle (e.g., lecture PDFs)",https://github.com/C0D3D3V/Moodle-DL,GPL-3.0-or-later
4583,fnt,local-installable,"Apt for fonts, the missing font manager for macOS/linux",https://github.com/alexmyczko/fnt,MIT
4584,daq,local-installable,Network intrusion prevention and detection system,https://www.snort.org/,GPL-2.0-only
4585,shimmy,local-installable,Small local inference server with OpenAI-compatible GGUF endpoints,https://github.com/Michael-A-Kuykendall/shimmy,Apache-2.0
4586,g-ls,local-installable,Powerful and cross-platform ls,https://g.equationzhao.space,MIT
4587,lando-cli,local-installable,Cli part of Lando,https://docs.lando.dev/cli,MIT
4588,doltgres,local-installable,Dolt for Postgres,https://github.com/dolthub/doltgresql,Apache-2.0
4589,dezoomify-rs,local-installable,Tiled image downloader,https://github.com/lovasoa/dezoomify-rs,GPL-3.0-only
4590,brogue,local-installable,Roguelike game,https://sites.google.com/site/broguegame/,AGPL-3.0-or-later
4592,infat,local-installable,Tool to set default openers for file formats and url schemes on macOS,https://github.com/philocalyst/infat,MIT
4594,cql,local-installable,Decentralized SQL database with blockchain features,https://covenantsql.io,Apache-2.0
