rank,tool,access,description,homepage,license
4726,graphql-inspector,local-installable,"Validate schema, get schema change notifications, validate operations, and more",https://the-guild.dev/graphql/inspector,MIT
4727,ddcutil,local-installable,Control monitor settings using DDC/CI and USB,https://www.ddcutil.com,GPL-2.0-or-later
4728,fblog,local-installable,Small command-line JSON log viewer,https://github.com/brocode/fblog,WTFPL
4729,woob,local-installable,Web Outside of Browsers,https://woob.tech/,LGPL-3.0-or-later
4730,ssh-vault,local-installable,Encrypt/decrypt using SSH keys,https://ssh-vault.com/,BSD-3-Clause
4731,vsd,local-installable,"Download video streams over HTTP, DASH (.mpd), and HLS (.m3u8)",https://github.com/clitic/vsd,MIT
4732,gurk,local-installable,Signal Messenger client for terminal,https://github.com/boxdot/gurk-rs,AGPL-3.0-only
4733,c2rust,local-installable,Migrate C code to Rust,https://c2rust.com/,BSD-3-Clause
4734,oxfmt,local-installable,High-performance formatting tool for JavaScript and TypeScript,https://oxc.rs/,MIT
4735,metricbeat,local-installable,Collect metrics from your systems and services,https://www.elastic.co/beats/metricbeat,Apache-2.0
4736,waybackpy,local-installable,Wayback Machine API interface & command-line tool,https://pypi.org/project/waybackpy/,MIT
4739,dicebear,local-installable,CLI for DiceBear - An avatar library for designers and developers,https://github.com/dicebear/dicebear,MIT
4740,ns-3,local-installable,Discrete-event network simulator,https://www.nsnam.org/,GPL-2.0-only
4741,ios-sim,local-installable,Command-line application launcher for the iOS Simulator,https://github.com/ios-control/ios-sim,Apache-2.0
4742,mobiledevice,local-installable,CLI for Apple's Private (Closed) Mobile Device Framework,https://github.com/imkira/mobiledevice,MIT
4743,cairomm,local-installable,Vector graphics library with cross-device output support,https://cairographics.org/cairomm/,LGPL-2.0-or-later
4744,lexicon,local-installable,Manipulate DNS records on various DNS providers in a standardized way,https://github.com/dns-lexicon/dns-lexicon,MIT
4745,efm-langserver,local-installable,General purpose Language Server,https://github.com/mattn/efm-langserver,MIT
4746,precious,local-installable,One code quality tool to rule them all,https://github.com/houseabsolute/precious,Apache-2.0 OR MIT
4749,bzip3,local-installable,Better and stronger spiritual successor to BZip2,https://github.com/kspalaiologos/bzip3,LGPL-3.0-only
4750,iamb,local-installable,Matrix client for Vim addicts,https://iamb.chat,Apache-2.0
4752,onlykey-agent,local-installable,Middleware that lets you use OnlyKey as a hardware SSH/GPG device,https://docs.crp.to/onlykey-agent.html,LGPL-3.0-only
4753,dra,local-installable,Command-line tool to download release assets from GitHub,https://github.com/devmatteini/dra,MIT
4755,gplugin,local-installable,GObject based library that implements a reusable plugin system,https://keep.imfreedom.org/gplugin/gplugin/,LGPL-2.0-or-later AND GPL-3.0-or-later
4757,otterdog,local-installable,Manage GitHub organizations at scale using an infrastructure as code approach,https://otterdog.readthedocs.io/en/latest/,EPL-2.0
4758,polynote,local-installable,Polyglot notebook with first-class Scala support,https://polynote.org/,Apache-2.0
